location: (0, 0), weight: 131, tentativeWeight: 131, visited: false
location: (1, 0), weight: 201, tentativeWeight: 332, visited: false
location: (1, 1), weight: 96, tentativeWeight: 428, visited: false
location: (1, 2), weight: 342, tentativeWeight: 770, visited: false
location: (0, 1), weight: 673, tentativeWeight: 804, visited: false
location: (2, 0), weight: 630, tentativeWeight: 962, visited: false
location: (0, 2), weight: 234, tentativeWeight: 1004, visited: false
location: (0, 3), weight: 103, tentativeWeight: 1107, visited: false
location: (0, 4), weight: 18, tentativeWeight: 1125, visited: false
location: (1, 0), weight: 201, tentativeWeight: 201, visited: false
location: (1, 1), weight: 96, tentativeWeight: 297, visited: false
location: (0, 0), weight: 131, tentativeWeight: 332, visited: false
location: (1, 2), weight: 342, tentativeWeight: 639, visited: false
location: (2, 0), weight: 630, tentativeWeight: 831, visited: false
location: (0, 2), weight: 234, tentativeWeight: 873, visited: false
location: (0, 1), weight: 673, tentativeWeight: 970, visited: false
location: (0, 3), weight: 103, tentativeWeight: 976, visited: false
location: (0, 4), weight: 18, tentativeWeight: 994, visited: false
location: (2, 0), weight: 630, tentativeWeight: 630, visited: false
location: (1, 0), weight: 201, tentativeWeight: 831, visited: false
location: (1, 1), weight: 96, tentativeWeight: 927, visited: false
location: (0, 0), weight: 131, tentativeWeight: 962, visited: false
location: (3, 0), weight: 537, tentativeWeight: 1167, visited: false
location: (1, 2), weight: 342, tentativeWeight: 1269, visited: false
location: (2, 1), weight: 803, tentativeWeight: 1433, visited: false
location: (0, 2), weight: 234, tentativeWeight: 1503, visited: false
location: (0, 1), weight: 673, tentativeWeight: 1600, visited: false
location: (0, 3), weight: 103, tentativeWeight: 1606, visited: false
location: (0, 4), weight: 18, tentativeWeight: 1624, visited: false
location: (3, 0), weight: 537, tentativeWeight: 537, visited: false
location: (2, 0), weight: 630, tentativeWeight: 1167, visited: false
location: (3, 1), weight: 699, tentativeWeight: 1236, visited: false
location: (4, 0), weight: 805, tentativeWeight: 1342, visited: false
location: (1, 0), weight: 201, tentativeWeight: 1368, visited: false
location: (1, 1), weight: 96, tentativeWeight: 1464, visited: false
location: (0, 0), weight: 131, tentativeWeight: 1499, visited: false
location: (3, 2), weight: 497, tentativeWeight: 1733, visited: false
location: (1, 2), weight: 342, tentativeWeight: 1806, visited: false
location: (3, 3), weight: 121, tentativeWeight: 1854, visited: false
location: (4, 3), weight: 37, tentativeWeight: 1891, visited: false
location: (4, 1), weight: 732, tentativeWeight: 1968, visited: false
location: (2, 1), weight: 803, tentativeWeight: 1970, visited: false
location: (0, 2), weight: 234, tentativeWeight: 2040, visited: false
location: (0, 1), weight: 673, tentativeWeight: 2137, visited: false
location: (0, 3), weight: 103, tentativeWeight: 2143, visited: false
location: (0, 4), weight: 18, tentativeWeight: 2161, visited: false
location: (4, 0), weight: 805, tentativeWeight: 805, visited: false
location: (3, 0), weight: 537, tentativeWeight: 1342, visited: false
location: (4, 1), weight: 732, tentativeWeight: 1537, visited: false
location: (2, 0), weight: 630, tentativeWeight: 1972, visited: false
location: (3, 1), weight: 699, tentativeWeight: 2041, visited: false
location: (4, 2), weight: 524, tentativeWeight: 2061, visited: false
location: (4, 3), weight: 37, tentativeWeight: 2098, visited: false
location: (1, 0), weight: 201, tentativeWeight: 2173, visited: false
location: (3, 3), weight: 121, tentativeWeight: 2219, visited: false
location: (1, 1), weight: 96, tentativeWeight: 2269, visited: false
location: (0, 0), weight: 131, tentativeWeight: 2304, visited: false
location: (4, 4), weight: 331, tentativeWeight: 2429, visited: false
location: (0, 0), weight: 131, tentativeWeight: 131, visited: false
location: (1, 0), weight: 201, tentativeWeight: 332, visited: false
location: (1, 1), weight: 96, tentativeWeight: 428, visited: false
location: (1, 2), weight: 342, tentativeWeight: 770, visited: false
location: (0, 1), weight: 673, tentativeWeight: 804, visited: false
location: (2, 0), weight: 630, tentativeWeight: 962, visited: false
location: (0, 2), weight: 234, tentativeWeight: 1004, visited: false
location: (0, 3), weight: 103, tentativeWeight: 1107, visited: false
location: (0, 4), weight: 18, tentativeWeight: 1125, visited: false
location: (1, 0), weight: 201, tentativeWeight: 201, visited: false
location: (1, 1), weight: 96, tentativeWeight: 297, visited: false
location: (0, 0), weight: 131, tentativeWeight: 332, visited: false
location: (1, 2), weight: 342, tentativeWeight: 639, visited: false
location: (2, 0), weight: 630, tentativeWeight: 831, visited: false
location: (0, 2), weight: 234, tentativeWeight: 873, visited: false
location: (0, 1), weight: 673, tentativeWeight: 970, visited: false
location: (0, 3), weight: 103, tentativeWeight: 976, visited: false
location: (0, 4), weight: 18, tentativeWeight: 994, visited: false
location: (2, 0), weight: 630, tentativeWeight: 630, visited: false
location: (1, 0), weight: 201, tentativeWeight: 831, visited: false
location: (1, 1), weight: 96, tentativeWeight: 927, visited: false
location: (0, 0), weight: 131, tentativeWeight: 962, visited: false
location: (3, 0), weight: 537, tentativeWeight: 1167, visited: false
location: (1, 2), weight: 342, tentativeWeight: 1269, visited: false
location: (2, 1), weight: 803, tentativeWeight: 1433, visited: false
location: (0, 2), weight: 234, tentativeWeight: 1503, visited: false
location: (0, 1), weight: 673, tentativeWeight: 1600, visited: false
location: (0, 3), weight: 103, tentativeWeight: 1606, visited: false
location: (0, 4), weight: 18, tentativeWeight: 1624, visited: false
location: (3, 0), weight: 537, tentativeWeight: 537, visited: false
location: (2, 0), weight: 630, tentativeWeight: 1167, visited: false
